City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,codrington,-38.2667,141.9667,54.95,93,100,4.07,AU,1669822636
1,nanortalik,60.1432,-45.2371,29.71,84,63,15.7,GL,1669822636
2,tuktoyaktuk,69.4541,-133.0374,-2.2,84,100,8.05,CA,1669822636
3,la palma,33.8464,-118.0467,57.22,88,100,5.75,US,1669822637
4,lagoa,39.05,-27.9833,62.28,76,0,9.26,PT,1669822637
5,rikitea,-23.1203,-134.9692,72.23,72,100,12.39,PF,1669822638
6,qaanaaq,77.484,-69.3632,-21.48,82,11,5.84,GL,1669822638
7,zapolyarnyy,69.4154,30.8136,29.48,91,100,9.53,RU,1669822640
8,albany,42.6001,-73.9662,45.95,87,100,5.99,US,1669822527
9,sao joao da barra,-21.6403,-41.0511,78.89,85,100,16.51,BR,1669822641
10,pilar,-9.5972,-35.9567,80.53,78,100,7.76,BR,1669822642
11,saldanha,-33.0117,17.9442,77.05,79,36,11.9,ZA,1669822642
12,barabai,-2.5833,115.3833,74.03,98,100,1.81,ID,1669822643
13,hobart,-42.8794,147.3294,52.05,81,75,5.75,AU,1669822628
14,mataura,-46.1927,168.8643,41.05,81,45,3.44,NZ,1669822644
15,punta arenas,-53.15,-70.9167,53.62,50,75,25.32,CL,1669822644
16,butaritari,3.0707,172.7902,81.05,77,27,11.18,KI,1669822645
17,riyadh,24.6877,46.7219,75.34,26,54,8.52,SA,1669822645
18,chuy,-33.6971,-53.4616,81.09,59,71,14.12,UY,1669822646
19,yellowknife,62.456,-114.3525,-21.44,76,40,4.61,CA,1669822382
20,kavali,14.9167,79.9833,77.97,72,100,5.48,IN,1669822647
21,bongor,10.2806,15.3722,87.87,19,5,5.21,TD,1669822647
22,ushuaia,-54.8,-68.3,55.02,50,75,27.63,AR,1669822381
23,nome,64.5011,-165.4064,19.47,86,100,19.57,US,1669822406
24,hamilton,39.1834,-84.5333,36.75,66,0,19.57,US,1669822516
25,victoria,22.2855,114.1577,67.24,80,100,17.0,HK,1669822564
26,langenburg,49.2544,9.8458,43.77,96,100,9.22,DE,1669822649
27,laizhou,37.1717,119.9214,28.17,43,100,11.32,CN,1669822650
28,gatton,-27.55,152.2833,60.22,95,100,5.55,AU,1669822651
29,roseau,15.3017,-61.3881,86.65,48,20,5.75,DM,1669822651
30,port alfred,-33.5906,26.891,74.37,82,20,17.81,ZA,1669822652
31,san martin,-33.081,-68.4681,81.14,23,61,10.4,AR,1669822652
32,sao filipe,14.8961,-24.4956,77.0,61,50,8.08,CV,1669822652
33,clarksburg,39.2807,-80.3445,59.45,77,100,14.97,US,1669822653
34,saint george,37.1041,-113.5841,27.19,54,0,0.0,US,1669822653
35,grindavik,63.8424,-22.4338,49.95,100,100,24.16,IS,1669822654
36,salalah,17.0151,54.0924,80.69,74,20,5.75,OM,1669822654
37,lompoc,34.6391,-120.4579,47.59,96,100,6.91,US,1669822387
38,rawson,-43.3002,-65.1023,68.63,45,38,12.28,AR,1669822655
39,makakilo city,21.3469,-158.0858,71.98,86,0,4.61,US,1669822655
40,tiksi,71.6872,128.8694,-12.3,99,100,13.24,RU,1669822655
41,vaini,-21.2,-175.2,75.36,94,75,5.75,TO,1669822656
42,bengkulu,-3.8004,102.2655,76.71,87,99,5.17,ID,1669822656
43,khovu-aksy,51.1333,93.6,-19.07,91,59,3.69,RU,1669822657
44,metro,-5.1131,105.3067,74.7,85,96,6.29,ID,1669822657
45,jamestown,42.097,-79.2353,47.84,71,100,8.05,US,1669822626
46,leningradskiy,69.3833,178.4167,0.5,96,81,6.73,RU,1669822657
47,san vicente,-26.6167,-54.1333,87.46,36,84,1.61,AR,1669822658
48,luderitz,-26.6481,15.1594,68.79,66,3,16.96,NA,1669822658
49,sitka,57.0531,-135.33,24.69,28,0,9.22,US,1669822659
50,bajil,15.0584,43.2851,81.14,62,4,9.19,YE,1669822659
51,hithadhoo,-0.6,73.0833,81.82,72,65,7.67,MV,1669822659
52,barrow,71.2906,-156.7887,28.42,93,100,21.85,US,1669822660
53,olafsvik,64.8945,-23.7142,45.7,96,100,20.07,IS,1669822660
54,fortuna,40.5982,-124.1573,49.66,73,100,8.01,US,1669822660
55,ukiah,39.1502,-123.2078,42.93,91,0,0.0,US,1669822647
56,beringovskiy,63.05,179.3167,25.14,97,74,5.88,RU,1669822661
57,dicabisagan,17.0818,122.4157,78.06,88,85,3.96,PH,1669822661
58,puerto ayora,-0.7393,-90.3518,76.96,94,87,4.0,EC,1669822662
59,akureyri,65.6835,-18.0878,39.13,93,20,6.91,IS,1669822662
60,margate,51.3813,1.3862,47.89,91,99,1.99,GB,1669822662
61,luau,-10.7073,22.2247,70.63,87,100,3.0,AO,1669822663
62,atuona,-9.8,-139.0333,77.56,76,42,16.53,PF,1669822663
63,sechura,-5.5569,-80.8222,76.35,62,75,6.96,PE,1669822664
64,ginir,7.1333,40.7,58.21,37,32,1.95,ET,1669822664
65,hermanus,-34.4187,19.2345,72.81,75,16,7.92,ZA,1669822664
66,urumqi,43.801,87.6005,-6.65,84,98,2.24,CN,1669822665
67,touros,-5.1989,-35.4608,84.38,56,99,12.28,BR,1669822436
68,olhao,37.0286,-7.8411,60.69,71,20,8.05,PT,1669822666
69,pevek,69.7008,170.3133,-10.08,97,40,5.57,RU,1669822666
70,san cristobal,7.7669,-72.225,68.18,87,97,4.14,VE,1669822666
71,muros,42.7762,-9.0603,55.09,93,100,8.28,ES,1669822667
72,provideniya,64.3833,-173.3,28.67,97,100,8.28,RU,1669822667
73,horta,38.5333,-28.6333,65.84,82,40,4.61,PT,1669822668
74,bluff,-46.6,168.3333,49.71,71,79,14.25,NZ,1669822668
75,arraial do cabo,-22.9661,-42.0278,78.66,83,75,23.02,BR,1669822668
76,upernavik,72.7868,-56.1549,6.71,91,100,16.87,GL,1669822669
77,salinopolis,-0.6136,-47.3561,85.48,59,99,5.97,BR,1669822669
78,biak,-0.9131,122.8766,77.05,81,99,1.66,ID,1669822670
79,thinadhoo,0.5333,72.9333,81.59,66,28,7.45,MV,1669822670
80,beian,63.6559,9.5683,39.0,87,75,11.5,NO,1669822671
81,haines junction,60.7522,-137.5108,-29.25,75,57,1.14,CA,1669822671
82,broken hill,-31.95,141.4333,65.17,41,0,9.33,AU,1669822671
83,mar del plata,-38.0023,-57.5575,72.82,86,75,11.5,AR,1669822672
84,broadstairs,51.3591,1.4394,47.79,91,100,3.0,GB,1669822413
85,mackay,-21.15,149.2,69.67,96,100,7.78,AU,1669822673
86,ribeira grande,38.5167,-28.7,66.6,68,40,4.61,PT,1669822673
87,geraldton,-28.7667,114.6,68.41,73,100,10.36,AU,1669822674
88,bandarbeyla,9.4942,50.8122,79.18,72,0,15.35,SO,1669822674
89,busselton,-33.65,115.3333,60.57,94,13,7.76,AU,1669822675
90,hilo,19.7297,-155.09,80.28,88,100,3.44,US,1669822675
91,lebu,-37.6167,-73.65,57.9,63,8,20.58,CL,1669822675
92,fairbanks,64.8378,-147.7164,-1.39,80,100,3.44,US,1669822676
93,ayagoz,47.9714,80.4392,-5.31,82,100,5.86,KZ,1669822676
94,buchanan,5.8808,-10.0467,82.26,72,67,7.4,LR,1669822677
95,thompson,55.7435,-97.8558,-12.84,77,100,14.97,CA,1669822677
96,aksay,47.26,39.87,34.25,27,97,17.0,RU,1669822677
97,ylojarvi,61.5563,23.5961,30.11,96,100,2.3,FI,1669822678
98,anastasiyevskaya,45.2158,37.8926,43.29,58,19,17.43,RU,1669822678
99,faya,18.3851,42.4509,66.31,66,64,5.39,SA,1669822679
100,kampong chhnang,12.1667,104.55,78.76,75,66,1.03,KH,1669822679
101,banon,40.8382,-1.1909,52.86,71,100,10.36,ES,1669822679
102,erenhot,43.6475,111.9767,3.97,68,4,9.91,CN,1669822680
103,cabo san lucas,22.8909,-109.9124,69.1,72,20,6.91,MX,1669822472
104,chokurdakh,70.6333,147.9167,-8.16,99,100,4.99,RU,1669822680
105,bonavista,48.6499,-53.1147,27.3,78,95,15.28,CA,1669822681
106,kloulklubed,7.0419,134.2556,79.3,77,96,18.95,PW,1669822681
107,cape town,-33.9258,18.4232,78.12,53,0,9.22,ZA,1669822682
108,nishihara,26.1842,127.7558,66.25,91,100,17.27,JP,1669822682
109,avarua,-21.2078,-159.775,75.25,88,20,8.05,CK,1669822683
110,alugan,12.2188,125.4808,81.84,85,81,13.82,PH,1669822684
111,cairns,-16.9167,145.7667,77.07,100,100,1.14,AU,1669822684
112,assiniboia,49.6334,-105.9845,-0.58,85,95,0.0,CA,1669822468
113,hailar,49.2,119.7,-22.31,92,63,6.85,CN,1669822562
114,amahai,-3.3333,128.9167,77.99,87,100,4.65,ID,1669822685
115,oranjemund,-28.55,16.4333,66.02,75,4,13.27,NA,1669822686
116,hofn,64.2539,-15.2082,48.22,100,100,18.41,IS,1669822687
117,dunedin,-45.8742,170.5036,47.8,70,12,5.99,NZ,1669822424
118,mersing,2.4312,103.8405,76.91,94,40,4.61,MY,1669822688
119,georgetown,5.4112,100.3354,82.24,88,20,1.14,MY,1669822688
120,nivala,63.9167,24.9667,24.69,99,100,2.44,FI,1669822689
121,balkhash,46.844,74.9804,18.86,93,100,13.22,KZ,1669822689
122,mago,53.2514,140.1822,-8.72,96,98,4.5,RU,1669822690
123,tarrafal,15.2833,-23.7667,76.5,62,28,14.5,CV,1669822691
124,pemba,-12.974,40.5178,83.1,65,20,13.8,MZ,1669822691
125,puerto leguizamo,-0.1934,-74.7819,85.96,56,95,5.7,CO,1669822692
126,galesong,-5.3166,119.3661,75.22,84,100,4.97,ID,1669822694
127,montepuez,-13.1256,38.9997,85.19,34,100,5.1,MZ,1669822695
128,roald,62.5833,6.1333,46.76,81,40,11.5,NO,1669822696
129,grafton,42.207,-71.6856,50.16,80,100,9.22,US,1669822587
130,rosarito,32.3333,-117.0333,54.14,78,57,2.04,MX,1669822698
131,sahuaripa,29.05,-109.2333,63.23,26,93,1.81,MX,1669822699
132,port macquarie,-31.4333,152.9167,60.89,70,100,1.28,AU,1669822700
133,jalu,29.0331,21.5482,67.66,38,3,8.28,LY,1669822701
134,petropavlovsk-kamchatskiy,53.0452,158.6483,30.79,100,100,11.18,RU,1669822702
135,narsaq,60.9167,-46.05,28.62,87,93,4.07,GL,1669822702
136,severo-kurilsk,50.6789,156.125,32.56,80,85,13.65,RU,1669822703
137,castro,-24.7911,-50.0119,69.1,80,97,2.3,BR,1669822704
138,tanda,26.55,82.65,65.64,50,26,4.9,IN,1669822705
139,kapaa,22.0752,-159.319,71.92,82,40,6.91,US,1669822705
140,quelimane,-17.8786,36.8883,76.95,69,75,8.05,MZ,1669822706
141,longyearbyen,78.2186,15.6401,37.24,65,40,12.66,SJ,1669822706
142,vila franca do campo,37.7167,-25.4333,66.2,70,70,3.06,PT,1669822707
143,la ermita,20.4139,-101.9936,70.9,35,3,3.98,MX,1669822707
144,shakawe,-18.3667,21.85,93.49,17,6,8.61,BW,1669822708
145,port hardy,50.6996,-127.4199,26.78,93,75,3.44,CA,1669822707
146,caceres,39.522,-6.3748,52.21,62,94,3.69,ES,1669822708
147,kabare,-2.4683,28.8242,62.31,95,100,2.68,CD,1669822709
148,lashio,22.9333,97.75,62.47,87,0,1.41,MM,1669822709
149,raudeberg,61.9875,5.1352,43.47,72,58,8.79,NO,1669822710
150,kalmunai,7.4167,81.8167,78.35,85,42,6.08,LK,1669822710
151,deputatskiy,69.3,139.9,-17.54,100,100,2.26,RU,1669822710
152,nantucket,41.2835,-70.0995,57.34,85,100,17.27,US,1669822711
153,east london,-33.0153,27.9116,70.74,83,20,23.02,ZA,1669822711
154,coquimbo,-29.9533,-71.3436,65.93,77,100,10.36,CL,1669822712
155,mahebourg,-20.4081,57.7,77.29,69,20,8.05,MU,1669822712
156,grand gaube,-20.0064,57.6608,77.4,70,31,8.01,MU,1669822712
157,padang,-0.9492,100.3543,75.25,91,100,4.61,ID,1669822713
158,mitsamiouli,-11.3847,43.2844,84.49,58,20,3.44,KM,1669822713
159,thohoyandou,-22.9456,30.485,76.95,37,0,4.56,ZA,1669822714
160,lorengau,-2.0226,147.2712,81.45,80,50,6.96,PG,1669822714
161,new norfolk,-42.7826,147.0587,51.71,64,98,2.71,AU,1669822714
162,ilulissat,69.2167,-51.1,24.82,80,75,23.02,GL,1669822715
163,inyonga,-6.7167,32.0667,66.9,88,99,3.69,TZ,1669822715
164,iqaluit,63.7506,-68.5145,-20.31,75,20,6.91,CA,1669822588
165,hualmay,-11.0964,-77.6139,71.62,72,94,10.11,PE,1669822716
166,bredasdorp,-34.5322,20.0403,73.89,52,51,13.82,ZA,1669822716
167,gizo,-8.103,156.8419,81.84,78,94,6.62,SB,1669822717
168,dikson,73.5069,80.5464,22.84,96,100,9.53,RU,1669822717
169,havelock,34.8791,-76.9013,69.8,86,100,13.8,US,1669822717
170,puerto madryn,-42.7692,-65.0385,68.7,46,37,13.96,AR,1669822718
171,asau,46.4333,26.4,34.72,88,98,3.24,RO,1669822718
172,san antonio,29.4241,-98.4936,49.15,54,0,19.57,US,1669822578
173,hearst,49.6835,-83.6665,30.45,81,100,16.4,CA,1669822718
174,key west,24.5557,-81.7826,89.6,74,40,11.5,US,1669822605
175,fort frances,48.5999,-93.4003,13.15,81,100,14.97,CA,1669822719
176,vestmanna,62.1564,-7.1664,47.32,87,100,17.27,FO,1669822719
177,belomorsk,64.5232,34.7668,22.17,98,100,3.98,RU,1669822720
178,whitefish,48.4111,-114.3376,17.11,89,100,0.0,US,1669822702
179,kisangani,0.5167,25.2,72.84,89,100,1.74,CD,1669822720
180,faanui,-16.4833,-151.75,79.86,75,4,13.67,PF,1669822721
181,kahului,20.8947,-156.47,75.85,88,20,3.0,US,1669822721
182,souillac,-20.5167,57.5167,77.38,69,20,8.05,MU,1669822722
183,kasane,-17.8167,25.15,86.09,32,20,5.75,BW,1669822722
184,shitanjing,39.2342,106.3439,7.25,14,0,2.98,CN,1669822722
185,zhezkazgan,47.8043,67.7144,23.14,96,100,5.64,KZ,1669822723
186,taltal,-25.4,-70.4833,65.79,73,46,5.66,CL,1669822723
187,emborion,40.4833,21.55,41.36,96,100,5.35,GR,1669822723
188,garowe,8.4054,48.4845,80.85,38,0,15.68,SO,1669822724
189,honningsvag,70.9821,25.9704,35.35,75,100,19.57,NO,1669822724
190,progreso,21.2833,-89.6667,82.11,68,100,7.74,MX,1669822725
191,meulaboh,4.1363,96.1285,76.78,88,91,2.15,ID,1669822725
192,henties bay,-22.116,14.2845,63.72,79,4,14.34,NA,1669822726
193,bathsheba,13.2167,-59.5167,84.81,70,40,17.27,BB,1669822726
194,bambous virieux,-20.3428,57.7575,77.25,69,20,8.05,MU,1669822726
195,flinders,-34.5833,150.8552,55.26,82,90,4.34,AU,1669822727
196,agadez,19.75,10.25,71.55,25,92,5.57,NE,1669822727
197,kupang,-10.1667,123.5833,77.58,94,40,0.0,ID,1669822457
198,boda,4.3189,17.4695,83.66,39,85,2.44,CF,1669822728
199,berlevag,70.8578,29.0864,35.6,75,100,12.66,NO,1669822728
200,khatanga,71.9667,102.5,-39.91,100,33,1.21,RU,1669822728
201,vaitape,-16.5167,-151.75,79.88,75,4,13.62,PF,1669822708
202,saint-philippe,-21.3585,55.7679,78.39,76,71,8.61,RE,1669822729
203,belmonte,-15.8631,-38.8828,80.02,86,100,4.68,BR,1669822729
204,adeje,28.1227,-16.726,70.9,54,75,16.11,ES,1669822730
205,pizarro,4.9533,-77.366,79.14,79,94,4.61,CO,1669822730
206,naze,28.3667,129.4833,58.12,79,100,18.3,JP,1669822730
207,bud,39.447,-86.1758,31.75,70,10,18.75,US,1669822731
208,lata,40.1629,-8.3327,51.08,95,100,4.99,PT,1669822731
209,atar,20.5169,-13.0499,87.01,10,0,8.55,MR,1669822732
210,serov,59.6033,60.5787,5.2,97,90,2.48,RU,1669822732
211,carutapera,-1.195,-46.02,83.37,68,63,8.34,BR,1669822733
212,tasiilaq,65.6145,-37.6368,35.76,98,100,17.34,GL,1669822733
213,guaruja,-23.9931,-46.2564,80.83,74,75,3.44,BR,1669822734
214,chicla,-11.705,-76.2686,53.42,38,100,7.74,PE,1669822734
215,ponta do sol,32.6667,-17.1,74.01,64,7,1.01,PT,1669822734
216,esperance,-33.8667,121.9,65.46,64,53,10.94,AU,1669822735
217,altay,47.8667,88.1167,2.71,57,100,6.13,CN,1669822735
218,gazanjyk,39.2446,55.5154,43.39,26,100,14.09,TM,1669822736
219,lodja,-3.4833,23.4333,71.94,87,85,1.3,CD,1669822736
220,vredendal,-31.6683,18.5012,72.88,53,6,17.34,ZA,1669822736
221,merauke,-8.4667,140.3333,80.46,82,100,13.22,ID,1669822737
222,russell,32.3502,-85.1999,63.68,94,100,0.0,US,1669822737
223,iskateley,67.6803,53.1512,4.17,96,10,7.43,RU,1669822738
224,shingu,33.7333,135.9833,46.54,73,61,6.93,JP,1669822738
225,ende,-8.8432,121.6623,78.49,85,56,2.86,ID,1669822738
226,tottori,35.5,134.2333,46.35,66,100,10.45,JP,1669822739
227,hami,42.8,93.45,11.3,23,8,3.47,CN,1669822739
228,springbok,-29.6643,17.8865,78.28,31,6,13.87,ZA,1669822740
229,angoche,-16.2325,39.9086,76.15,82,86,16.17,MZ,1669822740
230,acapulco,16.8634,-99.8901,80.42,74,20,4.61,MX,1669822732
231,airai,-8.9266,125.4092,60.67,92,100,0.4,TL,1669822741
232,cortez,37.3489,-108.5859,26.04,67,0,5.75,US,1669822741
233,nikolskoye,59.7035,30.7861,24.69,86,100,4.32,RU,1669822742
234,constitucion,-35.3333,-72.4167,63.95,65,16,15.61,CL,1669822743
235,gao,16.6362,1.637,89.13,11,13,6.85,ML,1669822743
236,paranaiba,-19.6772,-51.1908,97.7,21,22,10.63,BR,1669822744
237,derzhavinsk,51.1,66.3167,11.43,83,100,12.3,KZ,1669822744
238,yulara,-25.2406,130.9889,71.87,19,0,9.24,AU,1669822745
239,smithers,54.7804,-127.1743,8.92,52,100,9.22,CA,1669822746
240,matadi,-5.8167,13.45,77.88,86,98,1.72,CD,1669822748
241,mbaiki,3.8678,17.9892,79.95,65,95,3.04,CF,1669822748
242,kiama,-34.6833,150.8667,64.0,81,81,4.34,AU,1669822749
243,traralgon,-38.1833,146.5333,46.42,98,33,1.97,AU,1669822749
244,verkhoyansk,67.5447,133.385,-23.53,100,100,2.01,RU,1669822750
245,saint-pierre,-21.3393,55.4781,78.48,69,20,5.75,RE,1669822750
246,giyon,8.5333,37.9833,60.67,32,18,11.25,ET,1669822751
247,high rock,26.6208,-78.2833,80.62,67,98,7.0,BS,1669822752
248,kavieng,-2.5744,150.7967,82.08,72,79,4.07,PG,1669822753
249,los llanos de aridane,28.6585,-17.9182,67.75,71,75,10.36,ES,1669822754
250,ekhabi,53.5102,142.9671,-3.14,90,85,20.09,RU,1669822754
251,bulgan,48.8125,103.5347,-10.64,88,30,3.2,MN,1669822755
252,sorland,67.667,12.6934,42.66,61,75,9.22,NO,1669822756
253,carnarvon,-24.8667,113.6333,70.29,81,0,16.15,AU,1669822756
254,poum,-20.2333,164.0167,80.85,83,70,11.86,NC,1669822757
255,okhotsk,59.3833,143.3,7.52,73,100,30.24,RU,1669822758
256,nohar,29.1833,74.7667,66.43,24,0,3.78,IN,1669822758
257,san policarpo,12.1791,125.5072,82.24,84,84,14.9,PH,1669822760
258,san patricio,28.017,-97.5169,55.27,49,3,21.21,US,1669822761
259,niamey,13.5137,2.1098,93.49,9,0,6.91,NE,1669822762
260,trairi,-3.2778,-39.2689,86.27,57,98,12.01,BR,1669822566
261,mumford,5.2618,-0.759,82.22,72,94,10.45,GH,1669822763
262,soeng sang,14.4264,102.4606,75.25,88,95,2.89,TH,1669822764
263,rapid city,44.0805,-103.231,20.86,65,0,5.75,US,1669822765
264,parkes,-33.1333,148.1833,62.35,69,100,9.04,AU,1669822766
265,bethel,41.3712,-73.414,52.54,84,100,8.05,US,1669822766
266,huallanca,-9.8993,-76.9417,59.22,40,60,0.56,PE,1669822767
267,lusambo,-4.9667,23.45,73.89,95,100,0.76,CD,1669822768
268,lahij,13.1667,44.5833,73.29,74,39,8.43,YE,1669822768
269,vanderhoof,54.0166,-124.0198,0.0,89,100,13.56,CA,1669822769
270,anadyr,64.75,177.4833,19.9,100,57,4.47,RU,1669822769
271,san juan del rio,20.3833,-100.0,60.73,48,58,8.86,MX,1669822770
272,iquitos,-3.7481,-73.2472,87.84,79,40,11.5,PE,1669822538
273,cockburn town,21.4612,-71.1419,84.16,58,40,16.11,TC,1669822770
274,lensk,60.7253,114.9278,0.79,93,100,12.15,RU,1669822771
275,klaksvik,62.2266,-6.589,49.12,89,99,27.45,FO,1669822771
276,bilma,18.6853,12.9164,74.32,23,29,7.38,NE,1669822772
277,kalabo,-14.97,22.6814,81.68,46,95,5.86,ZM,1669822772
278,tortoli,39.9256,9.6572,55.22,67,40,27.63,IT,1669822772
279,mananjary,-21.2167,48.3333,75.65,84,54,5.19,MG,1669822773
